127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.002407
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.021419
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.021379
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.021339
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.021243
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.021301
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.022801
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.000377
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.000306
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.000372
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.000366
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000343
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.000361
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.000364
127.0.0.1, 2014-03-08 10:48:38, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.000356
127.0.0.1, 2014-03-08 10:48:48, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.030559
127.0.0.1, 2014-03-08 10:49:49, POST, /admin/default/edit/facil/models/db.py, HTTP/1.1, 200, 0.051831
127.0.0.1, 2014-03-08 10:50:00, GET, /admin/default/design/facil, HTTP/1.1, 200, 0.077937
127.0.0.1, 2014-03-08 10:50:19, GET, /admin/default/edit/facil/models/menu.py, HTTP/1.1, 200, 0.029036
127.0.0.1, 2014-03-08 10:50:27, GET, /admin/default/design/facil, HTTP/1.1, 200, 0.062057
127.0.0.1, 2014-03-08 11:34:27, GET, /admin/default/edit/facil/models/db.py, HTTP/1.1, 200, 0.036602
127.0.0.1, 2014-03-08 11:34:38, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.028417
127.0.0.1, 2014-03-08 11:36:22, POST, /admin/default/edit/facil/models/db.py, HTTP/1.1, 200, 0.040209
127.0.0.1, 2014-03-08 11:39:28, GET, /admin/default/design/facil, HTTP/1.1, 200, 0.072587
127.0.0.1, 2014-03-08 11:39:33, GET, /admin/default/peek/facil/databases/sql.log, HTTP/1.1, 200, 0.078970
127.0.0.1, 2014-03-08 11:40:51, GET, /admin/default/design/facil, HTTP/1.1, 200, 0.063425
127.0.0.1, 2014-03-08 11:41:25, GET, /admin/default/edit/facil/cron/crontab, HTTP/1.1, 200, 0.030400
127.0.0.1, 2014-03-08 11:41:26, GET, /admin/static/edit_area/reg_syntax/html.js, HTTP/1.1, 200, 0.000450
127.0.0.1, 2014-03-08 11:41:26, GET, /admin/static/edit_area/plugins/zencoding/zencoding.js, HTTP/1.1, 200, 0.000678
127.0.0.1, 2014-03-08 11:41:26, GET, /admin/static/edit_area/plugins/zencoding/langs/en.js, HTTP/1.1, 200, 0.006356
127.0.0.1, 2014-03-08 11:41:26, GET, /admin/static/edit_area/plugins/zencoding/core.js, HTTP/1.1, 200, 0.001048
127.0.0.1, 2014-03-08 11:41:36, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.034400
127.0.0.1, 2014-03-08 11:41:43, GET, /admin/default/design/facil, HTTP/1.1, 200, 0.065368
127.0.0.1, 2014-03-10 09:28:58, GET, /, HTTP/1.1, 303, 0.001410
127.0.0.1, 2014-03-10 09:28:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.885707
127.0.0.1, 2014-03-10 09:28:59, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001635
127.0.0.1, 2014-03-10 09:28:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000514
